,Town,Town Latitude,Town Longitude,VenueID,VenueName,score,category,catID,latitude,longitude
0,"Adrian, MI",41.897547100000004,-84.03716589999998,4d2a426febacb1f7ff040250,Pizza Bucket,na,Pizza Places,4bf58dd8d48988d1ca941735,41.897966265678406,-84.03821647167206
1,"Adrian, MI",41.897547100000004,-84.03716589999998,4d9e29ec71ac6a31ed9a4c06,The Grasshopper El Chapulin - Adrian,na,Mexican Restaurants,4bf58dd8d48988d1c1941735,41.89882791834956,-84.03815780543671
2,"Adrian, MI",41.897547100000004,-84.03716589999998,5b9c2550270ee70039c5657f,Downtown Dempsey's,na,Pizza Places,4bf58dd8d48988d1ca941735,41.898475,-84.035405
3,"Adrian, MI",41.897547100000004,-84.03716589999998,4fd257c5e4b069289209c46e,governor croswell tea room restaurant,na,Tea Rooms,4bf58dd8d48988d1dc931735,41.898523474556825,-84.0357496957831
4,"Adrian, MI",41.897547100000004,-84.03716589999998,5af8842232b61d002cf554c3,Farver’s,na,Bistros,52e81612bcbc57f1066b79f1,41.899099,-84.035216
5,"Adrian, MI",41.897547100000004,-84.03716589999998,512418b3e4b080a183b9a926,Hooligan's Grill,na,American Restaurants,4bf58dd8d48988d14e941735,41.89894857722418,-84.03594784622847
6,"Adrian, MI",41.897547100000004,-84.03716589999998,4e4e4ab7bd4101d0d7a6fdd9,Benito's Pizza,na,Pizza Places,4bf58dd8d48988d1ca941735,41.899824337762986,-84.03745317429387
7,"Adrian, MI",41.897547100000004,-84.03716589999998,4f9c12e6e4b065054bfdadd9,Aunt Millies bakery,na,Bakeries,4bf58dd8d48988d16a941735,41.897666216587325,-84.04305882902335
8,"Adrian, MI",41.897547100000004,-84.03716589999998,4ee7ecbcf790a9d737ca906a,Sauce,na,Italian Restaurants,4bf58dd8d48988d110941735,41.90016086641894,-84.03583101618754
9,"Adrian, MI",41.897547100000004,-84.03716589999998,56df578a498ee4f64acf6900,Chomp Burger,na,Burger Joints,4bf58dd8d48988d16c941735,41.90157167862168,-84.03463982795745
10,"Adrian, MI",41.897547100000004,-84.03716589999998,4d23b1922ac6f04de5212f45,Rico’s Latin Grill,na,Cuban Restaurants,4bf58dd8d48988d154941735,41.90016791666667,-84.03541383333334
11,"Adrian, MI",41.897547100000004,-84.03716589999998,4cd32b19a61c46882b05b228,Lotus Palace,na,Chinese Restaurants,4bf58dd8d48988d145941735,41.89975020065167,-84.03594354224913
12,"Adrian, MI",41.897547100000004,-84.03716589999998,4babc700f964a520b7c83ae3,Big Boy Restaurant,na,American Restaurants,4bf58dd8d48988d14e941735,41.89868313271512,-84.03337714617332
13,"Adrian, MI",41.897547100000004,-84.03716589999998,4d756d7ebf4fb1f74bd2722a,Frosty Boy,na,Ice Cream Shops,4bf58dd8d48988d1c9941735,41.8970256695501,-84.03428000760898
14,"Adrian, MI",41.897547100000004,-84.03716589999998,5064b0d4e0e28166c69e8611,Sauce Italian Grill & Pub,na,Italian Restaurants,4bf58dd8d48988d110941735,41.900887581593594,-84.03536796569824
15,"Adrian, MI",41.897547100000004,-84.03716589999998,4d44991fe198721e2880bd8b,Little Caesars,na,Pizza Places,4bf58dd8d48988d1ca941735,41.90056800842285,-84.04265820980072
16,"Adrian, MI",41.897547100000004,-84.03716589999998,4d1c913809546dcb0139d338,Alpha Koney Island,na,American Restaurants,4bf58dd8d48988d14e941735,41.902517145015906,-84.0339469514943
17,"Akron, OH",41.081444700000006,-81.51900529999998,4c49c232b5eec9b623f72ea5,Street Treats Grill,na,Delis / Bodegas,4bf58dd8d48988d146941735,41.08132701608316,-81.51906564348802
18,"Akron, OH",41.081444700000006,-81.51900529999998,4ea0486a5c5c8cb41cb24cfe,121 Cafe,na,Delis / Bodegas,4bf58dd8d48988d146941735,41.081928622985096,-81.51832814337303
