RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
102001,United States,0,187900,184600,180300,176300,174700,173800,172900,171400,169200,166500,163500,161900,159200,155300,151400,150600,152700,155600,157400,158400,159700,161200,163400,163300,164200,161100,159100,155500,156300,157100,159e3,158300,158600,157800,158e3,156900,154600,151800,149e3,148700,149500,149900,149400,148100,148200,149e3,149e3,148400,148100,149e3,151100,153e3,154900,156500,157400,158900,16e4,162600,163200,163200,163300,164800,167200,169e3,171700,173700,174300,174600,174100,174800,174100,174900,175e3,175500,175800,176600,178200,179900,181500,182200,182400,182600,184300,186100,188600,190200,191800,192400,193e3,192600,192800,192100,192400,194300,196200,196900,196100,196300,197300,198800,199200,200400,201200,203300,205700,207e3,208100,208600,208800,209e3,208800,209900,210600,211100,212700,214500,217800,219300,221700,225200,228200,228500,225300,223900,222900,223100,222800,224500,227200,228800,231400,232800,234500,
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362600,361900,362800,364e3,366e3,362e3,356500,353600,353300,350700,341e3,329300,324900,322400,324300,324500,329100,332500,336900,338e3,336100,336e3,337300,338500,335900,333400,330200,331400,331100,335e3,337400,341600,349500,353400,355300,350500,349200,348500,349800,349800,35e4,352300,352700,353500,355300,354500,354300,352200,353100,355800,354500,354600,353800,352300,353e3,351400,354100,355600,357100,358800,359200,358200,358700,359700,361100,360900,360300,361400,362500,362100,362400,361e3,360900,356800,360800,363700,372600,373900,374700,374300,372100,374400,375e3,379600,381e3,382100,382500,384e3,385500,385200,384800,386700,389800,392100,391100,391300,390600,389600,386300,384400,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,475100,463200,448200,437e3,421900,407200,391900,379600,368100,356700,342e3,331700,325200,321100,320500,326200,334500,341e3,348900,356e3,363800,366900,370900,369200,367600,363100,366700,363800,365700,360500,366800,365500,368800,365200,361900,358500,355200,355400,352900,348500,347500,345200,344900,338900,338600,337200,337700,335800,336400,340500,344100,348600,355500,362800,372700,378100,387600,395700,398500,400100,405e3,419700,432800,442e3,446700,449500,451700,454100,456700,457200,454700,455500,456800,460600,464200,464600,467400,467900,470500,474300,475500,477900,479800,486500,491100,495200,494200,497800,499400,503900,504900,503600,504600,510700,518100,520100,519500,522300,528600,530200,529400,530500,532700,531400,530400,528300,531400,525300,528700,529400,538500,539900,544e3,545100,551300,562400,580400,590300,597300,600700,608200,609900,613600,614500,616e3,616300,619400,626100,631900,630400,628900,623800,629200,632800
394463,"Chicago, IL",3,254700,251500,237200,224500,222500,222500,226200,224700,222400,219400,213200,210400,206200,201600,193500,187400,187900,191200,193900,196100,198400,198500,198100,198400,196200,193300,186300,185600,183300,184500,181400,183e3,185900,187e3,184800,180400,176800,172100,165700,163100,165300,169300,17e4,168100,165300,166100,162500,161900,159200,160200,158700,161900,163700,166300,165800,164600,165800,164100,164700,162300,162100,162500,166400,172900,183400,188700,193e3,193600,195100,195300,192800,194400,193500,193200,191400,193e3,196100,200100,204100,204700,203800,201e3,201600,202400,204500,206100,206200,204600,202300,195e3,191800,187600,187600,185900,183800,183100,183900,186400,188100,189300,190200,192800,192300,193700,195600,200100,203300,204700,205900,205800,205100,202900,200700,199600,198800,200300,202600,205800,208800,212500,220200,222600,220800,218200,219500,22e4,218300,218300,225500,224300,227700,231400,242900,244400
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199500,201800,202800,203400,202300,202400,204e3,205e3,205900,206300,207600,209100,212700,215600,218500,219100,219200,220500,220500,220300,221100,225500,230500,232200,232100,231400,232100,233300,235700,237900,239600,240500,242300,245200,247100,246800,244900,244500,247200,247800,251e3,252200,254500,252700,250800,249500,249500,
394974,"Philadelphia, PA",5,211700,210500,206300,198100,194900,194500,196200,196600,197600,197500,197400,198200,201200,200900,195300,188700,185700,188500,190300,192100,193e3,197900,200900,203500,203100,202800,197500,191400,188400,185600,187300,187500,192e3,195500,200800,203300,199600,193600,184500,181200,18e4,181600,180200,178900,178700,183200,184900,189e3,187e3,186700,184800,186500,186700,187100,182100,182200,184800,194500,197800,197600,193400,192400,190200,191300,193400,197100,196e3,195e3,193700,195500,195300,195200,195800,194e3,192400,191200,191100,192e3,192500,194100,193200,193100,192500,191800,191400,193200,194900,194900,193500,192e3,192700,192900,192800,191e3,193e3,199100,198700,196200,191800,193900,195600,195600,195800,193800,194600,199400,200200,203900,200900,202400,201800,201900,201600,199100,197200,196200,195600,200400,201e3,200800,198900,198900,201500,199400,198200,197300,198200,199700,201700,204400,208e3,211400,213e3,
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182400,181800,184800,186300,188500,187500,188400,189600,189900,190800,191e3,191900,193200,192900,193200,189900,189600,188600,192e3,193300,195100,192700,193200,194400,198700,201700,203e3,204800,206600,208700,211500,212800,215e3,215500,215e3,215700,215400,216800,217100,220200,223700,224100,221500,218200,219200,221100,224800,225e3,222900,220900,219900,223100,226200,229700,231700,226100,222600,219e3,
395209,"Washington, DC",7,357300,347400,331500,317200,311400,309500,302200,293800,286800,280900,281800,278900,281700,275800,272800,273e3,281800,295900,303400,303200,301300,301200,301300,297500,295200,298300,296800,291400,291500,284500,294100,291100,305800,305600,304100,301400,287600,279600,271300,272900,284800,294200,304900,297500,291100,284200,285500,281900,292300,297300,309400,312400,320300,321400,32e4,317700,319400,317900,319900,316100,324200,327200,337400,340700,345800,347200,344100,340800,339900,340400,341800,339400,341200,341200,350200,350400,353800,347800,347e3,346e3,348300,351500,350200,350300,355700,357300,357e3,349100,346400,344700,347300,349300,350100,346200,347e3,35e4,350400,351900,349e3,350600,349400,351600,353400,357500,356400,357400,358400,358700,359600,358800,359700,36e4,359900,360500,361700,362700,364800,366700,369800,373100,381e3,383900,384200,377800,373200,373200,374700,376400,377900,378e3,381e3,384300,393700,
394856,"Miami-Fort Lauderdale, FL",8,258200,249500,235800,228600,224200,222300,214100,206e3,195100,187400,175500,167700,158800,151500,141400,136700,137300,141200,143200,143200,143900,145400,146300,146800,146500,144600,143500,141e3,137200,131400,126100,127400,130200,130400,123e3,118500,114900,118200,119800,123100,127100,125900,124400,122800,124500,128300,130900,133900,135200,137e3,137800,140500,140500,141200,143e3,145900,149200,153400,157800,161700,159800,16e4,162500,166900,169500,171200,173e3,174300,176300,177800,180500,179800,180700,179900,181800,184300,187400,187300,187400,188500,192400,196200,196200,197600,198200,201e3,205100,207600,209200,208e3,207700,208300,205700,206500,207600,216400,218500,221500,218500,219700,220500,222200,224800,228300,229200,23e4,228900,234800,236100,239600,236700,237600,235800,238500,241900,244800,245800,246800,251e3,255600,259100,258200,255600,253400,251200,251400,250900,256500,260100,264400,263300,267100,270300,
394347,"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94800,95500,96100,98100,96800,96800,96500,96900,98100,99900,103600,106100,108600,109700,113600,116900,120900,123e3,126100,128100,131900,135400,141100,142300,142300,140300,139700,139700,140100,14e4,139600,140800,145e3,149600,153600,154600,155600,155400,157900,160100,162300,162800,168900,171500,173300,169e3,169e3,169900,170100,171200,172800,174700,175e3,174500,173900,173300,171600,172700,173300,175400,176400,179e3,179500,181600,182300,186100,187300,189300,189e3,188600,188100,189200,191500,192700,195e3,197700,202900,204800,206500,205500,205300,203600,200500,202800,204800,207800,207700,21e4,213300,214200,
