,Town,median_rent,Latitude,Longitude
0,"Adrian, MI",145800.0,41.8975471,-84.03716589999999
1,"Akron, OH",141600.0,41.0814447,-81.51900529999999
2,"Albany, OR",258600.0,44.6365107,-123.1059282
3,"Anchorage, AK",311700.0,61.2180556,-149.9002778
4,"Astoria, OR",287700.0,46.1878841,-123.8312534
5,"Barnstable Town, MA",396700.0,41.7003208,-70.3002024
6,"Bartlesville, OK",113200.0,36.7473114,-95.98081789999999
7,"Bay City, MI",82200.0,43.5944677,-83.8888647
8,"Beaver Dam, WI",156200.0,43.4577692,-88.837329
9,"Bellingham, WA",379500.0,48.7519112,-122.4786854
10,"Bloomington, IL",149800.0,40.4842027,-88.99368729999999
11,"Boulder, CO",532000.0,40.0149856,-105.2705456
12,"Brainerd, MN",167500.0,46.3526733,-94.2020084
13,"Bremerton, WA",339700.0,47.5650067,-122.6269768
14,"Brevard, NC",232200.0,35.2334472,-82.7342919
15,"Brookings, OR",320100.0,42.0526114,-124.2839819
16,"Burlington, NC",154100.0,36.0956918,-79.43779909999999
17,"Campbellsville, KY",103400.0,37.3433974,-85.3419069
18,"Canton, OH",113700.0,40.79894729999999,-81.378447
19,"Celina, OH",138100.0,40.5489358,-84.5702338
20,"Centralia, WA",242100.0,46.7162136,-122.9542972
21,"Champaign-Urbana, IL",141500.0,40.1164204,-88.2433829
22,"Charleston, WV",113900.0,38.3498195,-81.6326234
23,"Chicago, IL",244400.0,41.8781136,-87.6297982
24,"Cleveland, OH",139900.0,41.49932,-81.6943605
25,"Clewiston, FL",140700.0,26.7542312,-80.93367529999999
26,"Coffeyville, KS",51200.0,37.0373005,-95.6163665
27,"Colorado Springs, CO",304000.0,38.8338816,-104.8213634
28,"Coos Bay, OR",200600.0,43.3665007,-124.2178903
29,"Corvallis, OR",370400.0,44.5645659,-123.2620435
30,"Craig, CO",197500.0,40.5152491,-107.5464541
31,"Cullman, AL",129500.0,34.1748208,-86.8436124
32,"Daphne, AL",189200.0,30.6035255,-87.9036047
33,"Denver, CO",399600.0,39.7392358,-104.990251
34,"Des Moines, IA",189700.0,41.5868353,-93.6249593
35,"Dodge City, KS",139200.0,37.7527982,-100.0170787
36,"Dunn, NC",176300.0,35.3062743,-78.6089028
37,"Durant, OK",136000.0,33.9924186,-96.39712329999999
38,"Edwards, CO",697200.0,39.644986,-106.5942
39,"El Paso, TX",146800.0,31.7618778,-106.4850217
40,"Elk City, OK",102000.0,35.4119944,-99.4042592
41,"Elkhart, IN",168200.0,41.6819935,-85.9766671
42,"Ellensburg, WA",300700.0,46.9965144,-120.5478474
43,"Eugene, OR",290300.0,44.0520691,-123.0867536
44,"Eureka, CA",300100.0,40.8020712,-124.1636729
45,"Fayetteville, NC",131500.0,35.0526641,-78.87835849999999
46,"Fergus Falls, MN",184600.0,46.2835212,-96.0777887
47,"Fort Collins, CO",383800.0,40.5852602,-105.084423
48,"Fort Myers, FL",222300.0,26.640628,-81.8723084
49,"Fort Wayne, IN",154200.0,41.079273,-85.1393513
50,"Freeport, IL",90000.0,42.2966861,-89.6212271
51,"Fremont, NE",130100.0,41.4333909,-96.49814669999999
52,"Garden City, KS",158700.0,37.9716898,-100.8726618
53,"Grand Junction, CO",254500.0,39.0638705,-108.5506486
54,"Greensboro, NC",156700.0,36.0726354,-79.7919754
55,"Greenville, OH",107900.0,40.1028264,-84.63301150000001
56,"Harrison, AR",125900.0,36.2297936,-93.1076765
57,"Hermiston-Pendleton, OR",194500.0,45.8404101,-119.2894604
58,"Hood River, OR",412700.0,45.7053966,-121.5214623
59,"Indiana, PA",96400.0,40.6214551,-79.15253489999999
60,"Ionia, MI",134100.0,42.9872547,-85.07111739999999
61,"Jacksonville, FL",194300.0,30.3321838,-81.65565099999999
62,"Kennewick, WA",290100.0,46.2086683,-119.119948
63,"Kingston, NY",222000.0,41.9270367,-73.9973608
64,"Lake Charles, LA",169400.0,30.2265949,-93.2173758
65,"Lake City, FL",132500.0,30.1896756,-82.6392899
66,"Lake Havasu City, AZ",223200.0,34.483901,-114.3224548
67,"Las Vegas, NV",271100.0,36.1699412,-115.1398296
68,"Lawrence, KS",206400.0,38.9716689,-95.2352501
69,"Lexington, KY",182300.0,38.0405837,-84.5037164
70,"London, KY",126600.0,37.1289771,-84.08326459999999
71,"Longview, WA",269100.0,46.1381676,-122.9381672
72,"Los Angeles-Long Beach-Anaheim, CA",632800.0,33.7700504,-118.1937395
73,"Madison, WI",261500.0,43.0730517,-89.4012302
74,"Madisonville, KY",93500.0,37.32810050000001,-87.4988882
75,"Marshalltown, IA",133900.0,42.0494674,-92.90803749999999
76,"Martin, TN",81900.0,36.3433965,-88.8503379
77,"Melbourne, FL",213900.0,28.0836269,-80.60810889999999
78,"Merrill, WI",135300.0,45.1805223,-89.683459
79,"Midland, MI",131400.0,43.6155825,-84.2472116
80,"Morristown, TN",142700.0,36.2139814,-83.29489219999999
81,"Mount Airy, NC",128800.0,36.4993007,-80.6072858
82,"Mount Pleasant, MI",139100.0,43.59780749999999,-84.7675139
83,"Mount Vernon, WA",346100.0,48.4201105,-122.3374543
84,"Mountain Home, AR",132600.0,36.3353949,-92.381346
85,"Naples, FL",331500.0,26.1420358,-81.7948103
86,"New Castle, PA",66400.0,41.0036719,-80.34700900000001
87,"Newport, OR",294900.0,44.6367836,-124.0534505
88,"Newton, IA",98000.0,41.7033177,-93.05735330000002
89,"Norfolk, NE",151400.0,42.03272339999999,-97.41375529999999
90,"North Port-Sarasota-Bradenton, FL",264700.0,27.044224,-82.2359254
91,"Oak Harbor, WA",359900.0,48.28829469999999,-122.6484205
92,"Ocala, FL",146100.0,29.1871986,-82.14009229999999
93,"Olympia, WA",319500.0,47.0378741,-122.9006951
94,"Ottawa, IL",96300.0,41.3455892,-88.8425769
95,"Oxford, NC",187400.0,36.3107004,-78.5908345
96,"Paducah, KY",118000.0,37.0833893,-88.6000478
97,"Parkersburg, WV",131800.0,39.2667418,-81.56151349999999
98,"Peru, IN",85400.0,40.7536528,-86.0688811
99,"Phoenix, AZ",247300.0,33.4483771,-112.0740373
100,"Pinehurst-Southern Pines, NC",193500.0,35.1606822,-79.4174178
101,"Pittsfield, MA",196300.0,42.4500845,-73.2453824
102,"Ponca City, OK",83700.0,36.706981,-97.0855948
103,"Port Angeles, WA",279400.0,48.118146,-123.4307413
104,"Portland, OR",383500.0,45.5154586,-122.6793461
105,"Prescott, AZ",295800.0,34.5400242,-112.4685025
106,"Pullman, WA",257300.0,46.7297771,-117.1817377
107,"Raleigh, NC",259800.0,35.7795897,-78.6381787
108,"Redding, CA",265100.0,40.5865396,-122.3916754
109,"Reno, NV",367100.0,39.5296329,-119.8138027
110,"Richmond, KY",157700.0,37.7478572,-84.2946539
111,"Riverside, CA",353000.0,33.9806005,-117.3754942
112,"Rocky Mount, NC",96900.0,35.9382103,-77.7905339
113,"Sacramento, CA",396600.0,38.5815719,-121.4943996
114,"Safford, AZ",151300.0,32.8339546,-109.70758
115,"Salem, OR",286100.0,44.9428975,-123.0350963
116,"Salina, KS",141100.0,38.8402805,-97.61142369999999
117,"Salinas, CA",537400.0,36.6777372,-121.6555013
118,"San Diego, CA",558000.0,32.715738,-117.1610838
119,"San Francisco, CA",789400.0,37.7749295,-122.4194155
120,"San Jose, CA",1032600.0,37.3382082,-121.8863286
121,"San Luis Obispo, CA",585900.0,35.2827524,-120.6596156
122,"Sanford, NC",136300.0,35.4798757,-79.1802994
123,"Santa Cruz, CA",797700.0,36.9741171,-122.0307963
124,"Scottsbluff, NE",116900.0,41.8666341,-103.6671662
