Town,Town Latitude,Town Longitude,VenueID,VenueName,score,category,catID,latitude,longitude
"Adrian, MI",41.8975471,-84.0371659,4d2a426febacb1f7ff040250,Pizza Bucket,na,Pizza Places,4bf58dd8d48988d1ca941735,41.89796627,-84.03821647
"Adrian, MI",41.8975471,-84.0371659,4d9e29ec71ac6a31ed9a4c06,The Grasshopper El Chapulin - Adrian,na,Mexican Restaurants,4bf58dd8d48988d1c1941735,41.89882792,-84.03815781
"Adrian, MI",41.8975471,-84.0371659,5b9c2550270ee70039c5657f,Downtown Dempsey's,na,Pizza Places,4bf58dd8d48988d1ca941735,41.898475,-84.035405
"Adrian, MI",41.8975471,-84.0371659,4fd257c5e4b069289209c46e,governor croswell tea room restaurant,na,Tea Rooms,4bf58dd8d48988d1dc931735,41.89852347,-84.0357497
"Adrian, MI",41.8975471,-84.0371659,5af8842232b61d002cf554c3,Farver’s,na,Bistros,52e81612bcbc57f1066b79f1,41.899099,-84.035216
"Adrian, MI",41.8975471,-84.0371659,512418b3e4b080a183b9a926,Hooligan's Grill,na,American Restaurants,4bf58dd8d48988d14e941735,41.89894858,-84.03594785
"Adrian, MI",41.8975471,-84.0371659,4e4e4ab7bd4101d0d7a6fdd9,Benito's Pizza,na,Pizza Places,4bf58dd8d48988d1ca941735,41.89982434,-84.03745317
"Adrian, MI",41.8975471,-84.0371659,4f9c12e6e4b065054bfdadd9,Aunt Millies bakery,na,Bakeries,4bf58dd8d48988d16a941735,41.89766622,-84.04305883
"Adrian, MI",41.8975471,-84.0371659,4ee7ecbcf790a9d737ca906a,Sauce,na,Italian Restaurants,4bf58dd8d48988d110941735,41.90016087,-84.03583102
"Adrian, MI",41.8975471,-84.0371659,56df578a498ee4f64acf6900,Chomp Burger,na,Burger Joints,4bf58dd8d48988d16c941735,41.90157168,-84.03463983
"Adrian, MI",41.8975471,-84.0371659,4d23b1922ac6f04de5212f45,Rico’s Latin Grill,na,Cuban Restaurants,4bf58dd8d48988d154941735,41.90016792,-84.03541383
